Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",10697.88,3420.46,3362.53,Bonds,Investment Strategy,Debt Reduction,Partially Implemented,Neutral,Satisfied,High
*,*,*,*,*,87259.21,0.0,1674.31,*,Debt Management,Debt Reduction,Implemented,Neutral,Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",99333.72,1622.76,2448.57,Real Estate,Retirement Planning,Retirement Fund Building,Partially Implemented,Neutral,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",55845.64,0.0,3923.88,Gold,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",18986.67,0.0,666.05,Bonds,Retirement Planning,Tax Savings,Partially Implemented,Very Unsatisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",20505.47,4201.69,584.83,Gold,Debt Management,Debt Reduction,Seeking Further Consultation,Neutral,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",46178.22,0.0,4450.07,Bonds,Retirement Planning,Increase Savings,Partially Implemented,Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",10436.94,2279.64,2617.43,Cryptocurrency,Tax Planning,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",15471.65,0.0,4782.34,Bonds,Debt Management,Tax Savings,Seeking Further Consultation,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",79155.26,0.0,2801.14,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Neutral,Unsatisfied,High
*,*,*,*,*,97258.84,3099.36,2111.62,*,Retirement Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",97907.94,4128.04,634.44,Real Estate,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",6761.16,1494.37,1951.19,Gold,Tax Planning,High ROI Investments,Partially Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24833.23,3777.17,3851.09,Stocks,Tax Planning,Increase Savings,Not Implemented,Unsatisfied,Neutral,Low
*,*,*,*,*,62266.49,0.0,4126.78,*,Retirement Planning,Increase Savings,Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",52035.83,343.72,2614.61,Bonds,Tax Planning,Debt Reduction,Not Implemented,Satisfied,Satisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",50594.29,0.0,3072.33,Fixed Deposits,Tax Planning,Tax Savings,Not Implemented,Unsatisfied,Neutral,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",89875.54,0.0,4787.61,Fixed Deposits,Savings Plan,High ROI Investments,Partially Implemented,Very Unsatisfied,Very Satisfied,High
*,*,*,*,*,29390.87,0.0,2959.51,*,Tax Planning,Increase Savings,Not Implemented,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",7766.78,3447.47,4059.88,Mutual Funds,Retirement Planning,High ROI Investments,Implemented,Very Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",62941.32,0.0,2073.41,Gold,Savings Plan,High ROI Investments,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",47947.54,3871.69,2236.98,Fixed Deposits,Retirement Planning,Retirement Fund Building,Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",19046.35,0.0,2667.9,Stocks,Debt Management,Tax Savings,Partially Implemented,Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",36483.25,2435.72,2870.97,Cryptocurrency,Tax Planning,Retirement Fund Building,Implemented,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",29968.03,1886.62,4470.7,Gold,Debt Management,Debt Reduction,Not Implemented,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",89393.79,177.07,4847.37,Cryptocurrency,Tax Planning,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",38343.77,0.0,802.23,Bonds,Tax Planning,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",6180.05,4616.32,3420.5,Bonds,Savings Plan,Debt Reduction,Implemented,Neutral,Very Unsatisfied,Low
*,*,*,*,*,35189.02,0.0,4371.24,*,Investment Strategy,Debt Reduction,Not Implemented,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",11435.47,0.0,2646.95,Mutual Funds,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",34949.2,0.0,3162.29,Bonds,Savings Plan,Retirement Fund Building,Partially Implemented,Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",74388.84,0.0,3871.52,Stocks,Savings Plan,Increase Savings,Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",33513.49,0.0,1103.53,Gold,Tax Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",90890.06,0.0,724.39,Real Estate,Savings Plan,Increase Savings,Implemented,Very Satisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",78419.9,4776.46,1007.31,Fixed Deposits,Debt Management,Increase Savings,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",51111.82,926.1,2329.66,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",36869.49,3562.88,2373.85,Cryptocurrency,Savings Plan,Increase Savings,Implemented,Satisfied,Neutral,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",17737.67,4894.12,3365.16,Fixed Deposits,Savings Plan,High ROI Investments,Implemented,Very Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",34163.6,0.0,507.64,Cryptocurrency,Retirement Planning,Debt Reduction,Seeking Further Consultation,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",15093.66,4071.98,1957.7,Real Estate,Tax Planning,Debt Reduction,Not Implemented,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",84284.39,1842.24,3219.39,Mutual Funds,Debt Management,High ROI Investments,Implemented,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",40318.38,1464.6,793.56,Stocks,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",12367.84,0.0,2421.71,Cryptocurrency,Retirement Planning,Debt Reduction,Not Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",88385.61,1153.87,1042.31,Bonds,Savings Plan,Retirement Fund Building,Partially Implemented,Unsatisfied,Satisfied,High
*,*,*,*,*,78675.59,804.16,3070.44,*,Investment Strategy,Debt Reduction,Not Implemented,Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",83486.49,0.0,3731.84,Cryptocurrency,Debt Management,Debt Reduction,Not Implemented,Neutral,Very Satisfied,Low
*,*,*,*,*,39399.95,0.0,1372.6,*,Debt Management,High ROI Investments,Seeking Further Consultation,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",52105.51,0.0,3679.47,Cryptocurrency,Retirement Planning,Increase Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",31211.9,2084.32,2050.86,Fixed Deposits,Investment Strategy,Increase Savings,Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",56349.4,2974.41,1798.72,Gold,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",91680.51,3726.77,4470.91,Stocks,Savings Plan,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,High
*,*,*,*,*,50820.81,0.0,3758.93,*,Savings Plan,Increase Savings,Partially Implemented,Neutral,Neutral,Low
*,*,*,*,*,19529.84,2589.53,532.19,*,Tax Planning,Retirement Fund Building,Not Implemented,Satisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",88569.16,0.0,2679.78,Real Estate,Investment Strategy,Retirement Fund Building,Partially Implemented,Very Satisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",16466.08,0.0,1447.98,Gold,Investment Strategy,High ROI Investments,Implemented,Very Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",94678.65,0.0,4847.74,Real Estate,Debt Management,Tax Savings,Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",14045.18,0.0,4751.98,Mutual Funds,Debt Management,Debt Reduction,Seeking Further Consultation,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",73916.87,0.0,1704.23,Fixed Deposits,Debt Management,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",23513.73,3130.27,4457.87,Bonds,Tax Planning,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",26370.19,0.0,644.41,Gold,Savings Plan,Tax Savings,Implemented,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",79592.1,3807.18,884.96,Stocks,Retirement Planning,Debt Reduction,Not Implemented,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",24414.83,756.29,4556.36,Fixed Deposits,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",97175.17,0.0,4892.89,Fixed Deposits,Debt Management,Increase Savings,Implemented,Very Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",73180.12,2219.79,2261.69,Fixed Deposits,Debt Management,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",44871.9,0.0,3638.38,Real Estate,Savings Plan,Retirement Fund Building,Implemented,Neutral,Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",88084.65,0.0,1593.68,Cryptocurrency,Tax Planning,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,Moderate
*,*,*,*,*,12265.91,0.0,4769.74,*,Investment Strategy,Tax Savings,Partially Implemented,Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",18774.83,2443.34,1172.34,Real Estate,Debt Management,Tax Savings,Partially Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",56402.34,1273.83,665.67,Real Estate,Debt Management,Retirement Fund Building,Implemented,Satisfied,Neutral,High
*,*,*,*,*,80333.93,0.0,2403.79,*,Debt Management,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",76884.37,2254.44,960.43,Real Estate,Investment Strategy,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",57371.05,0.0,1872.13,Fixed Deposits,Retirement Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",13481.44,0.0,3809.31,Bonds,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",33623.23,3979.7,1733.92,Gold,Savings Plan,Tax Savings,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",15489.16,0.0,3953.21,Bonds,Retirement Planning,Increase Savings,Implemented,Neutral,Satisfied,Moderate
*,*,*,*,*,26288.25,0.0,2307.09,*,Tax Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",5623.6,4361.49,1860.61,Real Estate,Debt Management,Tax Savings,Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",58490.98,0.0,3809.11,Bonds,Debt Management,Retirement Fund Building,Implemented,Neutral,Neutral,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",11225.22,3275.79,4937.91,Cryptocurrency,Retirement Planning,High ROI Investments,Partially Implemented,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",18080.53,0.0,4901.54,Bonds,Retirement Planning,Tax Savings,Implemented,Very Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",58901.64,3480.85,3878.51,Fixed Deposits,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Neutral,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",33284.58,3406.99,4541.32,Bonds,Retirement Planning,Tax Savings,Partially Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",31185.58,0.0,4924.4,Real Estate,Retirement Planning,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",8198.1,0.0,595.05,Real Estate,Tax Planning,High ROI Investments,Not Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",42976.98,0.0,3217.77,Bonds,Debt Management,High ROI Investments,Seeking Further Consultation,Neutral,Neutral,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",12372.25,396.86,743.0,Fixed Deposits,Tax Planning,Increase Savings,Not Implemented,Satisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",14317.99,3356.35,4185.04,Mutual Funds,Investment Strategy,Tax Savings,Partially Implemented,Neutral,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",33332.6,4393.19,4961.81,Gold,Debt Management,Retirement Fund Building,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
*,*,*,*,*,85085.62,2837.7,4888.09,*,Tax Planning,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",53643.38,2787.26,4536.55,Bonds,Tax Planning,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",27567.09,0.0,605.22,Cryptocurrency,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",13923.13,478.45,3277.38,Real Estate,Tax Planning,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",54068.18,0.0,1159.58,Real Estate,Retirement Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",57344.15,0.0,2056.92,Cryptocurrency,Tax Planning,Retirement Fund Building,Implemented,Neutral,Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",54183.79,697.71,3672.33,Fixed Deposits,Retirement Planning,Tax Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",27528.72,0.0,4771.82,Cryptocurrency,Investment Strategy,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",66675.5,2633.05,1037.34,Fixed Deposits,Savings Plan,High ROI Investments,Implemented,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",12082.42,396.2,1004.44,Gold,Tax Planning,High ROI Investments,Partially Implemented,Unsatisfied,Very Satisfied,High
*,*,*,*,*,29301.95,4983.95,4202.71,*,Savings Plan,High ROI Investments,Implemented,Neutral,Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",92490.09,0.0,3920.0,Gold,Retirement Planning,Debt Reduction,Not Implemented,Neutral,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",55821.97,0.0,2679.43,Cryptocurrency,Retirement Planning,Debt Reduction,Implemented,Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",63086.9,3921.93,3046.87,Fixed Deposits,Tax Planning,Tax Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,High
*,*,*,*,*,39056.53,0.0,4745.01,*,Tax Planning,High ROI Investments,Seeking Further Consultation,Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",6885.57,0.0,4405.0,Stocks,Tax Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",5663.98,726.56,612.17,Bonds,Investment Strategy,High ROI Investments,Implemented,Neutral,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",37496.13,1510.21,2115.94,Real Estate,Tax Planning,Tax Savings,Seeking Further Consultation,Neutral,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",24151.17,4547.29,893.25,Gold,Savings Plan,High ROI Investments,Not Implemented,Very Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",52558.93,0.0,2971.42,Gold,Retirement Planning,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",84739.61,3762.4,2877.49,Bonds,Investment Strategy,Increase Savings,Seeking Further Consultation,Neutral,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",37806.31,2087.56,3696.82,Stocks,Debt Management,Tax Savings,Not Implemented,Neutral,Very Satisfied,High
*,*,*,*,*,28896.4,4374.87,4496.97,*,Debt Management,Increase Savings,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",43698.34,2039.2,2243.71,Bonds,Savings Plan,Tax Savings,Not Implemented,Very Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",73896.93,3128.69,3117.47,Real Estate,Savings Plan,Increase Savings,Seeking Further Consultation,Neutral,Neutral,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",47946.88,0.0,3218.97,Bonds,Savings Plan,High ROI Investments,Not Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",65842.53,4475.83,4612.66,Fixed Deposits,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",50607.14,4522.33,1898.87,Fixed Deposits,Tax Planning,High ROI Investments,Partially Implemented,Very Satisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",37018.96,3055.59,4171.63,Mutual Funds,Savings Plan,Tax Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",53678.96,4256.0,930.35,Mutual Funds,Investment Strategy,Tax Savings,Not Implemented,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",53626.91,0.0,785.81,Real Estate,Debt Management,High ROI Investments,Implemented,Very Satisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",9297.55,0.0,1750.42,Cryptocurrency,Debt Management,Tax Savings,Not Implemented,Satisfied,Unsatisfied,High
*,*,*,*,*,14026.07,0.0,1516.28,*,Retirement Planning,High ROI Investments,Partially Implemented,Satisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",9041.3,0.0,1239.13,Mutual Funds,Investment Strategy,Tax Savings,Partially Implemented,Very Unsatisfied,Satisfied,High
*,*,*,*,*,71200.41,0.0,2908.09,*,Tax Planning,High ROI Investments,Implemented,Neutral,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",22345.83,3899.69,3132.38,Gold,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",84785.36,0.0,4097.61,Bonds,Investment Strategy,Increase Savings,Implemented,Very Satisfied,Satisfied,High
*,*,*,*,*,12994.51,0.0,2605.88,*,Savings Plan,Debt Reduction,Partially Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",89447.75,4188.31,1555.25,Real Estate,Retirement Planning,Increase Savings,Implemented,Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",74349.69,750.34,1872.87,Stocks,Debt Management,Retirement Fund Building,Seeking Further Consultation,Satisfied,Satisfied,High
*,*,*,*,*,42616.18,0.0,2822.7,*,Retirement Planning,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",87018.98,2276.9,2309.25,Fixed Deposits,Investment Strategy,Debt Reduction,Partially Implemented,Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",93531.85,0.0,2882.9,Gold,Retirement Planning,High ROI Investments,Not Implemented,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",40863.05,0.0,2017.42,Real Estate,Retirement Planning,High ROI Investments,Not Implemented,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",79795.66,0.0,2654.24,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Neutral,Neutral,Low
*,*,*,*,*,64943.91,0.0,1413.04,*,Debt Management,Debt Reduction,Partially Implemented,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",37066.02,108.23,2867.73,Stocks,Savings Plan,Debt Reduction,Not Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",58797.43,0.0,3797.74,Cryptocurrency,Tax Planning,Increase Savings,Seeking Further Consultation,Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",49434.41,0.0,3929.58,Mutual Funds,Retirement Planning,Increase Savings,Implemented,Very Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",13087.78,0.0,2035.45,Gold,Investment Strategy,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",35835.55,0.0,1955.3,Gold,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Neutral,Low
*,*,*,*,*,75747.58,4143.73,1219.59,*,Investment Strategy,Tax Savings,Partially Implemented,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",36569.49,3201.92,4078.69,Real Estate,Investment Strategy,Increase Savings,Seeking Further Consultation,Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",8251.71,0.0,2157.09,Gold,Investment Strategy,High ROI Investments,Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",44896.88,0.0,2185.74,Gold,Retirement Planning,High ROI Investments,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",79924.24,1359.94,3565.8,Gold,Debt Management,High ROI Investments,Implemented,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",11363.37,0.0,4734.04,Mutual Funds,Retirement Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",70043.88,1697.35,1493.22,Real Estate,Savings Plan,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",39095.9,0.0,3613.88,Gold,Savings Plan,Tax Savings,Not Implemented,Unsatisfied,Satisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",54389.96,484.72,4047.46,Mutual Funds,Tax Planning,Retirement Fund Building,Partially Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",29666.44,0.0,4706.07,Cryptocurrency,Tax Planning,Tax Savings,Not Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",5612.01,0.0,4187.2,Mutual Funds,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",77806.15,0.0,3172.67,Mutual Funds,Tax Planning,Retirement Fund Building,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",84620.48,4322.87,3949.03,Fixed Deposits,Debt Management,Debt Reduction,Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",32435.86,0.0,4524.52,Bonds,Savings Plan,Increase Savings,Implemented,Neutral,Very Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",45198.69,0.0,3207.59,Real Estate,Tax Planning,Tax Savings,Partially Implemented,Satisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",57211.35,2282.82,604.94,Cryptocurrency,Investment Strategy,Retirement Fund Building,Seeking Further Consultation,Neutral,Unsatisfied,Moderate
*,*,*,*,*,20553.34,99.41,2033.15,*,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",90568.54,3712.58,4686.49,Real Estate,Investment Strategy,High ROI Investments,Partially Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",40426.88,403.89,1673.62,Cryptocurrency,Tax Planning,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Neutral,Moderate
